b'{id: 755, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 756, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 757, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 758, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 759, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 760, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 761, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 762, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 763, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 764, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 765, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 766, voltage: 6.486804, temperature: 30.500000}\n'
b'{id: 767, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 768, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 769, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 770, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 771, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 772, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 773, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 774, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 775, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 776, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 777, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 778, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 779, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 780, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 781, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 782, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 783, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 784, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 785, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 786, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 787, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 788, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 789, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 790, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 791, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 792, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 793, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 794, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 795, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 796, voltage: 6.475073, temperature: 30.500000}\n'
